,Player,Team,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5,Season
289,CR Woakes,ENG,17,17,139.4,4,857,27,6/47,31.74,6.13,31.0,1,1,2014/15
290,TG Southee,NZ,16,15,134.2,9,754,26,7/33,29.00,5.61,31.0,0,1,2014/15
291,JE Taylor,WI,13,13,110.5,3,682,25,3/15,27.28,6.15,26.6,0,0,2014/15
292,ST Finn,ENG,14,14,112.4,6,654,24,5/33,27.25,5.80,28.1,0,2,2014/15
293,Mohammad Irfan,PAK,15,15,136.2,9,684,23,4/30,29.73,5.01,35.5,1,0,2014/15
294,TM Dilshan,SL,26,24,140.3,0,728,22,3/37,33.09,5.18,38.3,0,0,2014/15
295,JP Faulkner,AUS,16,16,112.2,4,574,22,3/36,26.09,5.10,30.6,0,0,2014/15
296,VD Philander,SA,13,12,96.0,7,471,22,4/45,21.40,4.90,26.1,1,0,2014/15
297,JH Davey,SCOT,9,8,65.3,5,385,21,6/28,18.33,5.87,18.7,1,1,2014/15
298,DL Vettori,NZ,20,19,171.5,7,728,21,4/18,34.66,4.23,49.0,1,0,2014/15
299,Wahab Riaz,PAK,12,12,105.3,4,607,21,4/45,28.90,5.75,30.1,1,0,2014/15
300,R Ashwin,INDIA,13,13,125.0,8,584,20,4/25,29.20,4.67,37.5,1,0,2014/15
301,AD Russell,WI,15,15,111.0,6,715,20,3/33,35.75,6.44,33.3,0,0,2014/15
302,Hamid Hassan,AFG,11,11,92.3,4,469,19,5/45,24.68,5.07,29.2,0,1,2014/15
303,MJ Henry,NZ,9,8,72.5,4,372,19,5/30,19.57,5.10,23.0,1,1,2014/15
304,GJ Maxwell,AUS,20,19,100.1,3,551,19,4/46,29.00,5.50,31.6,1,0,2014/15
305,Shakib Al Hasan,BDESH,11,11,99.4,6,434,19,4/41,22.84,4.35,31.4,2,0,2014/15
306,JR Hazlewood,AUS,11,11,92.1,10,398,18,5/31,22.11,4.31,30.7,1,1,2014/15
307,JO Holder,WI,13,13,109.0,9,690,18,4/27,38.33,6.33,36.3,2,0,2014/15
308,MJ McClenaghan,NZ,13,12,101.3,2,611,18,4/36,33.94,6.01,33.8,1,0,2014/15
309,AD Mathews,SL,23,20,103.3,7,520,17,3/21,30.58,5.02,36.5,0,0,2014/15
310,AF Milne,NZ,15,15,118.5,4,584,17,2/28,34.35,4.91,41.9,0,0,2014/15
311,Shahid Afridi,PAK,17,17,156.2,4,703,17,3/37,41.35,4.49,55.1,0,0,2014/15
312,MM Ali,ENG,17,16,148.0,0,720,16,2/35,45.00,4.86,55.5,0,0,2014/15
313,TL Chatara,ZIM,10,10,99.4,8,531,16,3/35,33.18,5.32,37.3,0,0,2014/15
314,RA Jadeja,INDIA,14,13,114.3,1,665,16,3/44,41.56,5.80,42.9,0,0,2014/15
315,Mashrafe Mortaza,BDESH,10,10,83.0,6,398,16,3/20,24.87,4.79,31.1,0,0,2014/15
316,NLTC Perera,SL,25,25,143.4,1,957,16,3/44,59.81,6.66,53.8,0,0,2014/15
317,CJ Jordan,ENG,8,8,68.2,2,365,15,2/13,24.33,5.34,27.3,0,0,2014/15
318,AR Patel,INDIA,10,9,80.4,4,341,15,3/40,22.73,4.22,32.2,0,0,2014/15
319,MM Sharma,INDIA,10,10,82.0,5,411,15,3/48,27.40,5.01,32.8,0,0,2014/15
320,LM Jongwe,ZIM,19,19,130.5,11,664,25,5/6,26.56,5.07,31.4,0,1,2015/16
321,MJ Henry,NZ,9,8,73.4,5,367,23,5/40,15.95,4.98,19.2,2,1,2015/16
322,Amir Hamza,AFG,10,10,92.4,11,357,20,4/17,17.85,3.85,27.8,1,0,2015/16
323,Dawlat Zadran,AFG,10,10,83.1,6,369,19,4/22,19.42,4.43,26.2,1,0,2015/16
324,K Rabada,SA,9,9,84.5,3,420,19,4/41,22.10,4.95,26.7,2,0,2015/16
325,RJW Topley,ENG,9,9,71.5,5,377,16,4/50,23.56,5.24,26.9,1,0,2015/16
326,AG Cremer,ZIM,10,10,77.3,5,336,15,5/20,22.40,4.33,31.0,0,1,2015/16
327,Imran Tahir,SA,10,10,94.0,2,550,15,3/46,36.66,5.85,37.6,0,0,2015/16
328,WP Masakadza,ZIM,10,10,88.1,7,376,15,4/21,25.06,4.26,35.2,1,0,2015/16
329,T Panyangara,ZIM,13,13,108.0,8,495,15,3/41,33.00,4.58,43.2,0,0,2015/16
330,TA Boult,NZ,5,5,42.4,1,247,13,4/40,19.00,5.78,19.6,1,0,2015/16
331,JW Hastings,AUS,7,7,65.3,2,338,13,4/58,26.00,5.16,30.2,1,0,2015/16
332,Sikandar Raza,ZIM,19,12,84.0,5,372,13,3/40,28.61,4.42,38.7,0,0,2015/16
333,Mohammad Irfan,PAK,9,9,77.0,5,374,12,3/35,31.16,4.85,38.5,0,0,2015/16
334,MM Ali,ENG,9,9,79.4,2,400,11,3/43,36.36,5.02,43.4,0,0,2015/16
335,TS Chisoro,ZIM,8,8,61.0,4,247,11,3/16,22.45,4.04,33.2,0,0,2015/16
336,M Morkel,SA,6,6,58.2,1,296,11,4/39,26.90,5.07,31.8,1,0,2015/16
337,Rashid Khan,AFG,7,7,67.1,3,274,11,3/43,24.90,4.07,36.6,0,0,2015/16
338,MR Marsh,AUS,7,7,49.0,0,296,10,3/34,29.60,6.04,29.4,0,0,2015/16
339,Mohammad Nabi,AFG,10,10,74.0,1,306,10,3/15,30.60,4.13,44.4,0,0,2015/16
340,DW Steyn,SA,5,5,47.0,0,267,10,3/38,26.70,5.68,28.2,0,0,2015/16
341,UT Yadav,INDIA,7,7,65.5,1,468,10,3/67,46.80,7.10,39.5,0,0,2015/16
342,KJ Abbott,SA,5,5,44.0,2,232,9,3/58,25.77,5.27,29.3,0,0,2015/16
343,Mirwais Ashraf,AFG,7,7,52.1,4,183,9,3/20,20.33,3.50,34.7,0,0,2015/16
344,Nadeem Ahmed,HKG,3,3,25.1,1,94,9,4/26,10.44,3.73,16.7,1,0,2015/16
345,AU Rashid,ENG,9,9,80.2,1,448,9,3/78,49.77,5.57,53.5,0,0,2015/16
346,I Sharma,INDIA,4,4,40.0,0,250,9,4/77,27.77,6.25,26.6,1,0,2015/16
347,CR Woakes,ENG,6,6,47.3,2,233,9,4/33,25.88,4.90,31.6,2,0,2015/16
348,JR Hazlewood,AUS,4,4,40.0,1,215,8,3/61,26.87,5.37,30.0,0,0,2015/16
349,Mustafizur Rahman,BDESH,3,3,22.0,0,94,8,5/34,11.75,4.27,16.5,0,1,2015/16
350,MJ Santner,NZ,9,8,51.2,1,289,8,3/47,36.12,5.62,38.5,0,0,2015/16
351,Shoaib Malik,PAK,8,8,49.5,0,289,8,3/30,36.12,5.79,37.3,0,0,2015/16
352,Wahab Riaz,PAK,9,9,73.2,2,388,8,4/63,48.50,5.29,55.0,1,0,2015/16
353,Yasir Shah,PAK,5,5,44.0,0,221,8,6/26,27.62,5.02,33.0,0,1,2015/16
354,CJ Chibhabha,ZIM,18,11,57.0,4,224,7,4/25,32.00,3.92,48.8,1,0,2015/16
355,JP Faulkner,AUS,6,6,57.0,0,356,7,2/60,50.85,6.24,48.8,0,0,2015/16
356,B Kumar,INDIA,7,7,65.4,1,458,7,3/41,65.42,6.97,56.2,0,0,2015/16
357,N Madziva,ZIM,3,3,20.4,2,110,7,3/27,15.71,5.32,17.7,0,0,2015/16
358,AF Milne,NZ,8,7,58.1,0,329,7,3/49,47.00,5.65,49.8,0,0,2015/16
359,T Muzarabani,ZIM,6,6,44.5,2,231,7,2/32,33.00,5.15,38.4,0,0,2015/16
360,Rashid Khan,AFG,13,13,103.4,5,431,33,6/43,13.06,4.15,18.8,2,1,2016/17
361,TA Boult,NZ,16,16,152.4,6,807,28,6/33,28.82,5.28,32.7,0,1,2016/17
362,Imran Tahir,SA,14,14,126.1,8,575,22,3/26,26.13,4.55,34.4,0,0,2016/17
363,Mashrafe Mortaza,BDESH,12,12,108.4,7,521,21,4/29,24.80,4.79,31.0,1,0,2016/17
364,Mohammad Nabi,AFG,13,13,108.1,6,459,21,4/30,21.85,4.24,30.9,1,0,2016/17
365,WD Parnell,SA,10,10,76.1,3,449,20,4/58,22.45,5.89,22.8,1,0,2016/17
366,K Rabada,SA,14,14,116.1,5,648,20,3/25,32.40,5.57,34.8,0,0,2016/17
367,MJ Santner,NZ,18,18,161.0,2,700,20,3/44,35.00,4.34,48.3,0,0,2016/17
368,TG Southee,NZ,17,17,161.1,8,894,20,3/40,44.70,5.54,48.3,0,0,2016/17
369,Taskin Ahmed,BDESH,12,12,94.3,2,547,20,4/47,27.35,5.78,28.3,2,0,2016/17
370,MA Starc,AUS,9,9,81.1,7,407,19,4/42,21.42,5.01,25.6,1,0,2016/17
371,PJ Cummins,AUS,10,10,89.5,2,471,18,4/41,26.16,5.24,29.9,1,0,2016/17
372,Dawlat Zadran,AFG,11,11,86.2,5,481,17,4/53,28.29,5.57,30.4,2,0,2016/17
373,JR Hazlewood,AUS,9,9,84.5,4,397,16,3/32,24.81,4.67,31.8,0,0,2016/17
374,JO Holder,WI,10,10,92.0,3,460,16,3/41,28.75,5.00,34.5,0,0,2016/17
375,RAS Lakmal,SL,12,11,81.2,4,428,16,3/71,26.75,5.26,30.5,0,0,2016/17
376,JP Faulkner,AUS,8,8,65.2,1,372,15,4/32,24.80,5.69,26.1,1,0,2016/17
377,Hasan Ali,PAK,8,8,65.4,2,391,15,5/52,26.06,5.95,26.2,0,1,2016/17
378,A Mishra,INDIA,5,5,44.5,2,215,15,5/18,14.33,4.79,17.9,0,1,2016/17
379,AL Phehlukwayo,SA,14,14,91.4,5,521,15,4/44,34.73,5.68,36.6,1,0,2016/17
380,Shakib Al Hasan,BDESH,12,12,107.0,0,563,15,4/47,37.53,5.26,42.8,1,0,2016/17
381,CR Woakes,ENG,9,9,77.0,7,412,15,4/47,27.46,5.35,30.8,2,0,2016/17
382,AR Nurse,WI,7,7,66.0,1,334,14,3/27,23.85,5.06,28.2,0,0,2016/17
383,AU Rashid,ENG,7,7,53.2,1,296,14,4/43,21.14,5.55,22.8,2,0,2016/17
384,KMDN Kulasekara,SL,10,9,72.3,3,387,13,4/37,29.76,5.33,33.4,1,0,2016/17
385,CH Morris,SA,8,8,68.3,2,333,13,4/31,25.61,4.86,31.6,2,0,2016/17
386,CB Mpofu,ZIM,8,7,53.5,3,279,13,3/24,21.46,5.18,24.8,0,0,2016/17
387,LE Plunkett,ENG,6,6,53.1,5,306,13,4/40,23.53,5.75,24.5,1,0,2016/17
388,Zahoor Khan,UAE,4,4,22.4,0,115,13,6/34,8.84,5.07,10.4,0,1,2016/17
389,JT Ball,ENG,6,6,55.5,0,342,12,5/51,28.50,6.12,27.9,0,1,2016/17
390,Nadeem Ahmed,HKG,5,5,49.0,6,195,12,4/33,16.25,3.97,24.5,2,0,2016/17
391,JDS Neesham,NZ,16,14,65.0,1,426,12,3/36,35.50,6.55,32.5,0,0,2016/17
392,D Pretorius,SA,9,9,64.2,4,304,12,3/5,25.33,4.72,32.1,0,0,2016/17
393,A Zampa,AUS,10,10,77.5,2,478,12,3/37,39.83,6.14,38.9,0,0,2016/17
394,JJ Bumrah,INDIA,7,7,61.4,2,360,11,3/35,32.72,5.83,33.6,0,0,2016/17
395,Gulbadin Naib,AFG,10,10,63.0,3,304,11,4/27,27.63,4.82,34.3,1,0,2016/17
396,TL Chatara,ZIM,5,5,44.2,5,186,10,3/30,18.60,4.19,26.6,0,0,2016/17
397,AG Cremer,ZIM,10,9,72.3,3,282,10,3/46,28.20,3.88,43.5,0,0,2016/17
398,GH Dockrell,IRE,9,9,83.5,4,415,10,3/27,41.50,4.95,50.3,0,0,2016/17
399,ST Gabriel,WI,7,7,49.1,0,270,10,3/31,27.00,5.49,29.5,0,0,2016/17
