,Team,ScoreDescending,Overs,RPO,Inns,Result,Opposition,Ground,Start_Date,Year,Runs,Range
0,England,444/3,50.0,8.88,1,won,vPakistan,Nottingham,30 Aug 2016,2016,444,Greater than 400 runs
1,South Africa,439/2,50.0,8.78,1,won,vWest Indies,Johannesburg,18 Jan 2015,2015,439,Greater than 400 runs
2,South Africa,438/4,50.0,8.76,1,won,vIndia,Mumbai,25 Oct 2015,2015,438,Greater than 400 runs
3,India,418/5,50.0,8.36,1,won,vWest Indies,Indore,8 Dec 2011,2011,418,Greater than 400 runs
4,Australia,417/6,50.0,8.34,1,won,vAfghanistan,Perth,4 Mar 2015,2015,417,Greater than 400 runs
5,India,414/7,50.0,8.28,1,won,vSri Lanka,Rajkot,15 Dec 2009,2009,414,Greater than 400 runs
6,India,413/5,50.0,8.26,1,won,vBermuda,Port of Spain,19 Mar 2007,2007,413,Greater than 400 runs
7,Sri Lanka,411/8,50.0,8.22,2,lost,vIndia,Rajkot,15 Dec 2009,2009,411,Greater than 400 runs
8,South Africa,411/4,50.0,8.22,1,won,vIreland,Canberra,3 Mar 2015,2015,411,Greater than 400 runs
9,South Africa,408/5,50.0,8.16,1,won,vWest Indies,Sydney,27 Feb 2015,2015,408,Greater than 400 runs
10,England,408/9,50.0,8.16,1,won,vNew Zealand,Birmingham,9 Jun 2015,2015,408,Greater than 400 runs
11,India,404/5,50.0,8.08,1,won,vSri Lanka,Kolkata,13 Nov 2014,2014,404,Greater than 400 runs
12,New Zealand,402/2,50.0,8.04,1,won,vIreland,Aberdeen,1 Jul 2008,2008,402,Greater than 400 runs
13,India,401/3,50.0,8.02,1,won,vSouth Africa,Gwalior,24 Feb 2010,2010,401,Greater than 400 runs
14,South Africa,399/6,50.0,7.98,1,won,vZimbabwe,Benoni,22 Oct 2010,2010,399,B'twn 300 & 400 runs
15,England,399/9,50.0,7.98,1,won,vSouth Africa,Bloemfontein,3 Feb 2016,2016,399,B'twn 300 & 400 runs
16,New Zealand,398/5,50.0,7.96,1,won,vEngland,The Oval,12 Jun 2015,2015,398,B'twn 300 & 400 runs
17,New Zealand,393/6,50.0,7.86,1,won,vWest Indies,Wellington,21 Mar 2015,2015,393,B'twn 300 & 400 runs
18,South Africa,392/6,50.0,7.84,1,won,vPakistan,Centurion,4 Feb 2007,2007,392,B'twn 300 & 400 runs
19,India,392/4,50.0,7.84,1,won,vNew Zealand,Christchurch,8 Mar 2009,2009,392,B'twn 300 & 400 runs
20,India,387/5,50.0,7.74,1,won,vEngland,Rajkot,14 Nov 2008,2008,387,B'twn 300 & 400 runs
21,Pakistan,385/7,50.0,7.7,1,won,vBangladesh,Dambulla,21 Jun 2010,2010,385,B'twn 300 & 400 runs
22,South Africa,384/6,50.0,7.68,1,won,vSri Lanka,Centurion,10 Feb 2017,2017,384,B'twn 300 & 400 runs
23,India,383/6,50.0,7.66,1,won,vAustralia,Bengaluru,2 Nov 2013,2013,383,B'twn 300 & 400 runs
24,India,381/6,50.0,7.62,1,won,vEngland,Cuttack,19 Jan 2017,2017,381,B'twn 300 & 400 runs
25,Australia,378/5,50.0,7.56,1,won,vNew Zealand,Canberra,6 Dec 2016,2016,378,B'twn 300 & 400 runs
26,Australia,377/6,50.0,7.54,1,won,vSouth Africa,Basseterre,24 Mar 2007,2007,377,B'twn 300 & 400 runs
27,Sri Lanka,377/8,50.0,7.54,1,won,vIreland,Dublin (Malahide),18 Jun 2016,2016,377,B'twn 300 & 400 runs
28,Australia,376/9,50.0,7.52,1,won,vSri Lanka,Sydney,8 Mar 2015,2015,376,B'twn 300 & 400 runs
29,Pakistan,375/3,50.0,7.5,1,won,vZimbabwe,Lahore,26 May 2015,2015,375,B'twn 300 & 400 runs
30,India,374/4,50.0,7.48,1,won,vHong Kong,Karachi,25 Jun 2008,2008,374,B'twn 300 & 400 runs
31,New Zealand,373/8,50.0,7.46,1,won,vZimbabwe,Napier,9 Feb 2012,2012,373,B'twn 300 & 400 runs
32,New Zealand,372/6,50.0,7.44,1,won,vZimbabwe,Whangarei,6 Feb 2012,2012,372,B'twn 300 & 400 runs
33,West Indies,372/2,50.0,7.44,1,won,vZimbabwe,Canberra,24 Feb 2015,2015,372,B'twn 300 & 400 runs
34,South Africa,372/6,49.2,7.54,2,won,vAustralia,Durban,5 Oct 2016,2016,372,B'twn 300 & 400 runs
35,Australia,371/6,50.0,7.42,1,lost,vSouth Africa,Durban,5 Oct 2016,2016,371,B'twn 300 & 400 runs
36,India,370/4,50.0,7.4,1,won,vBangladesh,Dhaka,19 Feb 2011,2011,370,B'twn 300 & 400 runs
37,New Zealand,369/5,50.0,7.38,1,won,vPakistan,Napier,3 Feb 2015,2015,369,B'twn 300 & 400 runs
38,Australia,369/7,50.0,7.38,1,won,vPakistan,Adelaide,26 Jan 2017,2017,369,B'twn 300 & 400 runs
39,Sri Lanka,368/4,50.0,7.36,1,won,vPakistan,Hambantota,26 Jul 2015,2015,368,B'twn 300 & 400 runs
40,South Africa,367/5,50.0,7.34,1,won,vSri Lanka,Cape Town,7 Feb 2017,2017,367,B'twn 300 & 400 runs
41,England,366/8,50.0,7.32,2,lost,vIndia,Cuttack,19 Jan 2017,2017,366,B'twn 300 & 400 runs
42,South Africa,365/2,50.0,7.3,1,won,vIndia,Ahmedabad,27 Feb 2010,2010,365,B'twn 300 & 400 runs
43,England,365/9,46.0,7.93,2,lost,vNew Zealand,The Oval,12 Jun 2015,2015,365,B'twn 300 & 400 runs
44,Pakistan,364/7,50.0,7.28,1,won,vNew Zealand,Sharjah,14 Dec 2014,2014,364,B'twn 300 & 400 runs
45,New Zealand,363/5,50.0,7.26,1,won,vCanada,Gros Islet,22 Mar 2007,2007,363,B'twn 300 & 400 runs
46,India,363/5,50.0,7.26,1,won,vSri Lanka,Colombo (RPS),3 Feb 2009,2009,363,B'twn 300 & 400 runs
47,West Indies,363/4,50.0,7.26,1,won,vNew Zealand,Hamilton,8 Jan 2014,2014,363,B'twn 300 & 400 runs
48,India,363/5,50.0,7.26,1,won,vSri Lanka,Cuttack,2 Nov 2014,2014,363,B'twn 300 & 400 runs
49,Sri Lanka,363/9,50.0,7.26,1,won,vScotland,Hobart,11 Mar 2015,2015,363,B'twn 300 & 400 runs
50,Australia,362/3,50.0,7.24,1,won,vScotland,Edinburgh,3 Sep 2013,2013,362,B'twn 300 & 400 runs
51,India,362/1,43.3,8.32,2,won,vAustralia,Jaipur,16 Oct 2013,2013,362,B'twn 300 & 400 runs
52,Australia,361/8,50.0,7.22,1,won,vBangladesh,Dhaka,13 Apr 2011,2011,361,B'twn 300 & 400 runs
53,South Africa,361/5,42.0,8.59,1,won,vWest Indies,Centurion,28 Jan 2015,2015,361,B'twn 300 & 400 runs
54,South Africa,361/6,50.0,7.22,1,won,vAustralia,Johannesburg,2 Oct 2016,2016,361,B'twn 300 & 400 runs
55,New Zealand,360/5,50.0,7.2,1,won,vSri Lanka,Dunedin,23 Jan 2015,2015,360,B'twn 300 & 400 runs
56,New Zealand,359/3,50.0,7.18,1,won,vEngland,Southampton,2 Jun 2013,2013,359,B'twn 300 & 400 runs
57,Australia,359/5,50.0,7.18,1,lost,vIndia,Jaipur,16 Oct 2013,2013,359,B'twn 300 & 400 runs
58,Australia,358/5,50.0,7.16,1,won,vNetherlands,Basseterre,18 Mar 2007,2007,358,B'twn 300 & 400 runs
59,South Africa,358/4,50.0,7.16,1,won,vBangladesh,Benoni,9 Nov 2008,2008,358,B'twn 300 & 400 runs
60,New Zealand,358/6,50.0,7.16,1,won,vCanada,Mumbai,13 Mar 2011,2011,358,B'twn 300 & 400 runs
61,South Africa,358/4,50.0,7.16,1,won,vIndia,Johannesburg,5 Dec 2013,2013,358,B'twn 300 & 400 runs
62,Sri Lanka,357/9,50.0,7.14,1,won,vBangladesh,Lahore,25 Jun 2008,2008,357,B'twn 300 & 400 runs
63,South Africa,356/4,50.0,7.12,1,won,vWest Indies,St George's,10 Apr 2007,2007,356,B'twn 300 & 400 runs
64,India,356/7,48.1,7.39,2,won,vEngland,Pune,15 Jan 2017,2017,356,B'twn 300 & 400 runs
65,England,355/5,50.0,7.1,1,won,vPakistan,Dubai (DSC),20 Nov 2015,2015,355,B'twn 300 & 400 runs
66,India,354/7,50.0,7.08,1,won,vAustralia,Nagpur,28 Oct 2009,2009,354,B'twn 300 & 400 runs
67,South Africa,354/6,50.0,7.08,1,won,vEngland,Cape Town,27 Nov 2009,2009,354,B'twn 300 & 400 runs
68,South Africa,354/5,50.0,7.08,1,won,vIreland,Benoni,25 Sep 2016,2016,354,B'twn 300 & 400 runs
69,South Africa,353/3,40.0,8.82,1,won,vNetherlands,Basseterre,16 Mar 2007,2007,353,B'twn 300 & 400 runs
70,Australia,353/6,50.0,7.06,1,won,vPakistan,Sydney,22 Jan 2017,2017,353,B'twn 300 & 400 runs
71,Pakistan,351/4,50.0,7.02,1,won,vSouth Africa,Durban,7 Feb 2007,2007,351,B'twn 300 & 400 runs
72,Zimbabwe,351/7,50.0,7.02,1,won,vKenya,Mombasa,29 Jan 2009,2009,351,B'twn 300 & 400 runs
73,South Africa,351/6,50.0,7.02,1,won,vZimbabwe,Bloemfontein,15 Oct 2010,2010,351,B'twn 300 & 400 runs
74,South Africa,351/5,50.0,7.02,1,won,vNetherlands,Mohali,3 Mar 2011,2011,351,B'twn 300 & 400 runs
75,India,351/4,49.3,7.09,2,won,vAustralia,Nagpur,30 Oct 2013,2013,351,B'twn 300 & 400 runs
76,New Zealand,350/9,49.3,7.07,2,won,vAustralia,Hamilton,20 Feb 2007,2007,350,B'twn 300 & 400 runs
77,Australia,350/4,50.0,7.0,1,won,vIndia,Hyderabad (Deccan),5 Nov 2009,2009,350,B'twn 300 & 400 runs
78,Australia,350/6,50.0,7.0,1,lost,vIndia,Nagpur,30 Oct 2013,2013,350,B'twn 300 & 400 runs
79,Australia,350/6,50.0,7.0,1,won,vZimbabwe,Harare,25 Aug 2014,2014,350,B'twn 300 & 400 runs
80,England,350/3,44.0,7.95,2,won,vNew Zealand,Nottingham,17 Jun 2015,2015,350,B'twn 300 & 400 runs
81,England,350/7,50.0,7.0,1,lost,vIndia,Pune,15 Jan 2017,2017,350,B'twn 300 & 400 runs
82,Pakistan,349,49.5,7.0,1,won,vZimbabwe,Kingston,21 Mar 2007,2007,349,B'twn 300 & 400 runs
83,New Zealand,349/7,50.0,6.98,1,lost,vEngland,Nottingham,17 Jun 2015,2015,349,B'twn 300 & 400 runs
84,Australia,348/6,50.0,6.96,1,won,vNew Zealand,St George's,20 Apr 2007,2007,348,B'twn 300 & 400 runs
85,Sri Lanka,348/1,50.0,6.96,1,won,vIndia,Kingston,2 Jul 2013,2013,348,B'twn 300 & 400 runs
86,Australia,348/8,50.0,6.96,1,won,vIndia,Canberra,20 Jan 2016,2016,348,B'twn 300 & 400 runs
87,Pakistan,347/5,50.0,6.94,1,won,vZimbabwe,Karachi,21 Jan 2008,2008,347,B'twn 300 & 400 runs
88,India,347,49.4,6.98,2,lost,vAustralia,Hyderabad (Deccan),5 Nov 2009,2009,347,B'twn 300 & 400 runs
89,England,347/7,50.0,6.94,1,won,vBangladesh,Birmingham,12 Jul 2010,2010,347,B'twn 300 & 400 runs
90,Australia,346/5,50.0,6.92,1,lost,vNew Zealand,Hamilton,20 Feb 2007,2007,346,B'twn 300 & 400 runs
91,Australia,345,50.0,6.9,1,won,vScotland,Edinburgh,28 Aug 2009,2009,345,B'twn 300 & 400 runs
92,Australia,343/5,50.0,6.86,1,won,vNew Zealand,Perth,28 Jan 2007,2007,343,B'twn 300 & 400 runs
93,South Africa,343/5,50.0,6.86,1,won,vPakistan,Johannesburg,17 Mar 2013,2013,343,B'twn 300 & 400 runs
94,South Africa,343/4,50.0,6.86,1,won,vWest Indies,Basseterre,15 Jun 2016,2016,343,B'twn 300 & 400 runs
95,Australia,342/9,50.0,6.84,1,won,vEngland,Melbourne,14 Feb 2015,2015,342,B'twn 300 & 400 runs
96,India,341/3,50.0,6.82,1,won,vWest Indies,Vadodara,31 Jan 2007,2007,341,B'twn 300 & 400 runs
97,Australia,341/8,50.0,6.82,1,won,vWest Indies,Basseterre,6 Jul 2008,2008,341,B'twn 300 & 400 runs
98,South Africa,341/3,50.0,6.82,1,won,vNetherlands,Amstelveen,31 May 2013,2013,341,B'twn 300 & 400 runs
99,Scotland,341/9,50.0,6.82,1,won,vCanada,Christchurch,23 Jan 2014,2014,341,B'twn 300 & 400 runs
100,South Africa,341/6,50.0,6.82,1,won,vU.A.E.,Wellington,12 Mar 2015,2015,341,B'twn 300 & 400 runs
101,New Zealand,341/7,50.0,6.82,1,won,vBangladesh,Christchurch,26 Dec 2016,2016,341,B'twn 300 & 400 runs
102,New Zealand,340/5,48.4,6.98,2,won,vAustralia,Auckland,18 Feb 2007,2007,340,B'twn 300 & 400 runs
103,England,340/6,50.0,6.8,1,tied,vNew Zealand,Napier,20 Feb 2008,2008,340,B'twn 300 & 400 runs
104,New Zealand,340/7,50.0,6.8,2,tied,vEngland,Napier,20 Feb 2008,2008,340,B'twn 300 & 400 runs
105,India,339/6,50.0,6.78,1,won,vWest Indies,Kingston,26 Jun 2009,2009,339,B'twn 300 & 400 runs
106,South Africa,339/5,50.0,6.78,1,won,vSri Lanka,Hambantota,12 Jul 2014,2014,339,B'twn 300 & 400 runs
107,South Africa,339/4,50.0,6.78,1,won,vZimbabwe,Hamilton,15 Feb 2015,2015,339,B'twn 300 & 400 runs
108,Pakistan,339/6,50.0,6.78,1,won,vU.A.E.,Napier,4 Mar 2015,2015,339,B'twn 300 & 400 runs
109,India,338/3,50.0,6.76,1,won,vWest Indies,Nagpur,21 Jan 2007,2007,338,B'twn 300 & 400 runs
110,India,338,49.5,6.78,1,tied,vEngland,Bengaluru,27 Feb 2011,2011,338,B'twn 300 & 400 runs
111,England,338/8,50.0,6.76,2,tied,vIndia,Bengaluru,27 Feb 2011,2011,338,B'twn 300 & 400 runs
112,West Indies,338/7,50.0,6.76,1,won,vBangladesh,Basseterre,25 Aug 2014,2014,338,B'twn 300 & 400 runs
113,Afghanistan,338,50.0,6.76,1,won,vIreland,Greater Noida,17 Mar 2017,2017,338,B'twn 300 & 400 runs
114,Asia XI,337/7,50.0,6.74,1,won,vAfrica XI,Chennai,9 Jun 2007,2007,337,B'twn 300 & 400 runs
115,West Indies,337/4,50.0,6.74,1,won,vZimbabwe,St George's,22 Feb 2013,2013,337,B'twn 300 & 400 runs
116,Pakistan,337/6,47.0,7.17,1,won,vIreland,Dublin (Malahide),18 Aug 2016,2016,337,B'twn 300 & 400 runs
117,Pakistan,337/5,50.0,6.74,1,won,vWest Indies,Sharjah,2 Oct 2016,2016,337,B'twn 300 & 400 runs
118,Australia,336/4,50.0,6.72,1,lost,vNew Zealand,Auckland,18 Feb 2007,2007,336,B'twn 300 & 400 runs
119,South Africa,336/7,50.0,6.72,1,won,vKenya,Bloemfontein,31 Oct 2008,2008,336,B'twn 300 & 400 runs
120,New Zealand,336/9,50.0,6.72,1,won,vBangladesh,Napier,5 Feb 2010,2010,336,B'twn 300 & 400 runs
121,New Zealand,335/5,50.0,6.7,2,lost,vAustralia,Perth,28 Jan 2007,2007,335,B'twn 300 & 400 runs
122,New Zealand,335/5,50.0,6.7,1,won,vBangladesh,Napier,28 Dec 2007,2007,335,B'twn 300 & 400 runs
123,Australia,334/6,50.0,6.68,1,won,vScotland,Basseterre,14 Mar 2007,2007,334,B'twn 300 & 400 runs
124,New Zealand,334,45.1,7.39,2,lost,vIndia,Christchurch,8 Mar 2009,2009,334,B'twn 300 & 400 runs
125,Australia,334/8,49.2,6.77,2,won,vEngland,Sydney,2 Feb 2011,2011,334,B'twn 300 & 400 runs
126,Zimbabwe,334/5,50.0,6.68,2,lost,vPakistan,Lahore,26 May 2015,2015,334,B'twn 300 & 400 runs
127,England,333/6,50.0,6.66,1,lost,vAustralia,Sydney,2 Feb 2011,2011,333,B'twn 300 & 400 runs
128,Sri Lanka,332/8,50.0,6.64,1,won,vBangladesh,Karachi,30 Jun 2008,2008,332,B'twn 300 & 400 runs
129,India,332/5,50.0,6.64,1,won,vSri Lanka,Colombo (RPS),5 Feb 2009,2009,332,B'twn 300 & 400 runs
130,Sri Lanka,332/7,50.0,6.64,1,won,vCanada,Hambantota,20 Feb 2011,2011,332,B'twn 300 & 400 runs
131,Sri Lanka,332/1,50.0,6.64,1,won,vBangladesh,Melbourne,26 Feb 2015,2015,332,B'twn 300 & 400 runs
132,New Zealand,331/7,50.0,6.62,1,won,vKenya,Gros Islet,20 Mar 2007,2007,331,B'twn 300 & 400 runs
133,Asia XI,331/8,50.0,6.62,1,won,vAfrica XI,Chennai,10 Jun 2007,2007,331,B'twn 300 & 400 runs
134,South Africa,331/5,50.0,6.62,1,won,vZimbabwe,Centurion,10 Nov 2009,2009,331,B'twn 300 & 400 runs
135,India,331/7,50.0,6.62,1,won,vSouth Africa,Cardiff,6 Jun 2013,2013,331,B'twn 300 & 400 runs
136,New Zealand,331/6,50.0,6.62,1,won,vSri Lanka,Christchurch,14 Feb 2015,2015,331,B'twn 300 & 400 runs
137,Ireland,331/8,50.0,6.62,1,won,vZimbabwe,Hobart,7 Mar 2015,2015,331,B'twn 300 & 400 runs
138,India,331/4,49.4,6.66,2,won,vAustralia,Sydney,23 Jan 2016,2016,331,B'twn 300 & 400 runs
139,India,330/8,50.0,6.6,1,won,vPakistan,Dhaka,10 Jun 2008,2008,330,B'twn 300 & 400 runs
140,West Indies,330/8,50.0,6.6,1,won,vNetherlands,Delhi,28 Feb 2011,2011,330,B'twn 300 & 400 runs
141,India,330/4,47.5,6.89,2,won,vPakistan,Dhaka,18 Mar 2012,2012,330,B'twn 300 & 400 runs
142,India,330/6,50.0,6.6,1,won,vWest Indies,Dharamsala,17 Oct 2014,2014,330,B'twn 300 & 400 runs
143,Australia,330/7,50.0,6.6,1,lost,vIndia,Sydney,23 Jan 2016,2016,330,B'twn 300 & 400 runs
144,Sri Lanka,330/7,50.0,6.6,1,won,vWest Indies,Bulawayo,23 Nov 2016,2016,330,B'twn 300 & 400 runs
145,India,329/7,50.0,6.58,1,won,vEngland,Bristol,24 Aug 2007,2007,329,B'twn 300 & 400 runs
146,Pakistan,329/9,50.0,6.58,1,won,vBangladesh,Karachi,19 Apr 2008,2008,329,B'twn 300 & 400 runs
147,Zimbabwe,329/3,50.0,6.58,1,won,vKenya,Harare,18 Oct 2009,2009,329,B'twn 300 & 400 runs
148,Ireland,329/7,49.1,6.69,2,won,vEngland,Bengaluru,2 Mar 2011,2011,329,B'twn 300 & 400 runs
149,Zimbabwe,329/9,49.5,6.6,2,won,vNew Zealand,Bulawayo,25 Oct 2011,2011,329,B'twn 300 & 400 runs
150,Pakistan,329/6,50.0,6.58,1,lost,vIndia,Dhaka,18 Mar 2012,2012,329,B'twn 300 & 400 runs
151,Australia,329/7,50.0,6.58,1,won,vWest Indies,Canberra,6 Feb 2013,2013,329,B'twn 300 & 400 runs
152,Pakistan,329/7,49.5,6.6,2,won,vBangladesh,Dhaka,4 Mar 2014,2014,329,B'twn 300 & 400 runs
153,Australia,329/5,50.0,6.58,1,won,vSouth Africa,Canberra,19 Nov 2014,2014,329,B'twn 300 & 400 runs
154,Bangladesh,329/6,50.0,6.58,1,won,vPakistan,Dhaka,17 Apr 2015,2015,329,B'twn 300 & 400 runs
155,West Indies,329/9,50.0,6.58,2,lost,vSri Lanka,Bulawayo,23 Nov 2016,2016,329,B'twn 300 & 400 runs
156,Kenya,328/5,50.0,6.56,1,won,vScotland,Mombasa,17 Jan 2007,2007,328,B'twn 300 & 400 runs
157,England,328/7,50.0,6.56,1,won,vWest Indies,Birmingham,26 May 2009,2009,328,B'twn 300 & 400 runs
158,Ireland,328/6,50.0,6.56,1,won,vCanada,Dublin,19 Sep 2011,2011,328,B'twn 300 & 400 runs
159,New Zealand,328/5,50.0,6.56,1,lost,vZimbabwe,Bulawayo,25 Oct 2011,2011,328,B'twn 300 & 400 runs
160,South Africa,328/3,46.4,7.02,2,won,vAustralia,Harare,27 Aug 2014,2014,328,B'twn 300 & 400 runs
161,Australia,328/7,50.0,6.56,1,won,vIndia,Sydney,26 Mar 2015,2015,328,B'twn 300 & 400 runs
162,England,328,50.0,6.56,1,won,vWest Indies,Bridgetown,9 Mar 2017,2017,328,B'twn 300 & 400 runs
163,England,327/8,50.0,6.54,1,lost,vIreland,Bengaluru,2 Mar 2011,2011,327,B'twn 300 & 400 runs
164,Sri Lanka,327/6,50.0,6.54,1,won,vZimbabwe,Pallekele,10 Mar 2011,2011,327,B'twn 300 & 400 runs
165,Australia,327/7,50.0,6.54,1,lost,vSouth Africa,Harare,27 Aug 2014,2014,327,B'twn 300 & 400 runs
166,Scotland,327/5,50.0,6.54,1,won,vU.A.E.,Edinburgh,14 Aug 2016,2016,327,B'twn 300 & 400 runs
167,South Africa,327/8,50.0,6.54,1,won,vAustralia,Cape Town,12 Oct 2016,2016,327,B'twn 300 & 400 runs
168,Sri Lanka,327,48.1,6.78,2,lost,vSouth Africa,Cape Town,7 Feb 2017,2017,327,B'twn 300 & 400 runs
169,Australia,326,45.1,7.21,2,lost,vIndia,Bengaluru,2 Nov 2013,2013,326,B'twn 300 & 400 runs
170,Pakistan,326/5,50.0,6.52,1,won,vSri Lanka,Sharjah,22 Dec 2013,2013,326,B'twn 300 & 400 runs
171,Bangladesh,326/3,50.0,6.52,1,lost,vPakistan,Dhaka,4 Mar 2014,2014,326,B'twn 300 & 400 runs
172,Zimbabwe,326,49.3,6.58,2,lost,vIreland,Hobart,7 Mar 2015,2015,326,B'twn 300 & 400 runs
173,Ireland,325/8,50.0,6.5,1,won,vCanada,Toronto,7 Sep 2010,2010,325,B'twn 300 & 400 runs
174,England,325/4,50.0,6.5,1,won,vIndia,Rajkot,11 Jan 2013,2013,325,B'twn 300 & 400 runs
175,West Indies,324/8,50.0,6.48,2,lost,vIndia,Nagpur,21 Jan 2007,2007,324,B'twn 300 & 400 runs
176,India,324/6,50.0,6.48,1,won,vEngland,Leeds,2 Sep 2007,2007,324,B'twn 300 & 400 runs
177,Australia,324/7,50.0,6.48,1,won,vWest Indies,Brisbane,14 Feb 2010,2010,324,B'twn 300 & 400 runs
178,Australia,324/5,50.0,6.48,1,won,vWest Indies,Melbourne,19 Feb 2010,2010,324,B'twn 300 & 400 runs
179,Australia,324/6,50.0,6.48,1,won,vKenya,Bengaluru,13 Mar 2011,2011,324,B'twn 300 & 400 runs
180,England,324/7,50.0,6.48,1,won,vSri Lanka,Cardiff,2 Jul 2016,2016,324,B'twn 300 & 400 runs
181,Australia,324/8,50.0,6.48,1,won,vNew Zealand,Sydney,4 Dec 2016,2016,324,B'twn 300 & 400 runs
182,Bangladesh,324/5,50.0,6.48,1,won,vSri Lanka,Dambulla,25 Mar 2017,2017,324,B'twn 300 & 400 runs
183,South Africa,323/9,50.0,6.46,1,won,vZimbabwe,Harare,26 Aug 2007,2007,323,B'twn 300 & 400 runs
184,Zimbabwe,323/7,50.0,6.46,1,won,vBangladesh,Bulawayo,14 Aug 2009,2009,323,B'twn 300 & 400 runs
185,England,323/8,50.0,6.46,1,won,vSouth Africa,Centurion,27 Sep 2009,2009,323,B'twn 300 & 400 runs
186,Scotland,323/5,48.3,6.65,2,won,vIreland,Edinburgh,12 Jul 2011,2011,323,B'twn 300 & 400 runs
187,India,323,49.2,6.54,2,lost,vAustralia,Canberra,20 Jan 2016,2016,323,B'twn 300 & 400 runs
188,Australia,322/6,50.0,6.44,1,won,vWest Indies,North Sound,27 Mar 2007,2007,322,B'twn 300 & 400 runs
189,Pakistan,322/6,49.5,6.46,2,won,vIndia,Mohali,8 Nov 2007,2007,322,B'twn 300 & 400 runs
190,Pakistan,322/5,50.0,6.44,1,won,vBangladesh,Lahore,8 Apr 2008,2008,322,B'twn 300 & 400 runs
191,Pakistan,322/5,50.0,6.44,1,won,vSri Lanka,Sharjah,18 Dec 2013,2013,322,B'twn 300 & 400 runs
192,Bangladesh,322/4,48.1,6.68,2,won,vScotland,Nelson,5 Mar 2015,2015,322,B'twn 300 & 400 runs
193,Sri Lanka,321/6,50.0,6.42,1,won,vBermuda,Port of Spain,15 Mar 2007,2007,321,B'twn 300 & 400 runs
194,India,321/9,50.0,6.42,1,lost,vPakistan,Mohali,8 Nov 2007,2007,321,B'twn 300 & 400 runs
195,Pakistan,321/5,50.0,6.42,1,won,vSri Lanka,Colombo (RPS),7 Aug 2009,2009,321,B'twn 300 & 400 runs
196,India,321/5,48.5,6.57,2,won,vNew Zealand,Bengaluru,7 Dec 2010,2010,321,B'twn 300 & 400 runs
197,India,321/3,36.4,8.75,2,won,vSri Lanka,Hobart,28 Feb 2012,2012,321,B'twn 300 & 400 runs
198,Australia,321/6,50.0,6.42,1,won,vSri Lanka,Brisbane,4 Mar 2012,2012,321,B'twn 300 & 400 runs
199,West Indies,321/6,50.0,6.42,1,won,vIndia,Kochi,8 Oct 2014,2014,321,B'twn 300 & 400 runs
200,England,321/8,50.0,6.42,1,won,vIndia,Kolkata,22 Jan 2017,2017,321,B'twn 300 & 400 runs
201,England,320/8,50.0,6.4,2,lost,vIndia,Bristol,24 Aug 2007,2007,320,B'twn 300 & 400 runs
202,Sri Lanka,320/8,50.0,6.4,1,won,vIndia,Colombo (RPS),8 Feb 2009,2009,320,B'twn 300 & 400 runs
203,Bangladesh,320/8,50.0,6.4,1,won,vZimbabwe,Bulawayo,11 Aug 2009,2009,320,B'twn 300 & 400 runs
204,Ireland,320/8,50.0,6.4,1,lost,vScotland,Edinburgh,12 Jul 2011,2011,320,B'twn 300 & 400 runs
205,Sri Lanka,320/4,50.0,6.4,1,lost,vIndia,Hobart,28 Feb 2012,2012,320,B'twn 300 & 400 runs
206,Sri Lanka,320/5,50.0,6.4,1,won,vSouth Africa,Colombo (RPS),20 Jul 2013,2013,320,B'twn 300 & 400 runs
207,West Indies,319,48.1,6.62,2,lost,vIndia,Kingston,26 Jun 2009,2009,319,B'twn 300 & 400 runs
208,India,319/5,50.0,6.38,1,won,vSri Lanka,Colombo (RPS),14 Sep 2009,2009,319,B'twn 300 & 400 runs
209,Sri Lanka,319/8,50.0,6.38,1,won,vSouth Africa,Centurion,22 Sep 2009,2009,319,B'twn 300 & 400 runs
210,South Africa,319/3,46.2,6.88,2,won,vEngland,Centurion,9 Feb 2016,2016,319,B'twn 300 & 400 runs
211,New Zealand,318/7,50.0,6.36,1,won,vEngland,Perth,30 Jan 2007,2007,318,B'twn 300 & 400 runs
212,Sri Lanka,318/4,50.0,6.36,1,won,vBangladesh,Port of Spain,21 Mar 2007,2007,318,B'twn 300 & 400 runs
213,Africa XI,318/7,50.0,6.36,2,lost,vAsia XI,Chennai,10 Jun 2007,2007,318,B'twn 300 & 400 runs
214,Scotland,318/8,50.0,6.36,1,lost,vBangladesh,Nelson,5 Mar 2015,2015,318,B'twn 300 & 400 runs
215,England,318/8,50.0,6.36,1,lost,vSouth Africa,Centurion,9 Feb 2016,2016,318,B'twn 300 & 400 runs
216,Asia XI,317/9,50.0,6.34,1,won,vAfrica XI,Bengaluru,6 Jun 2007,2007,317,B'twn 300 & 400 runs
217,India,317/8,49.4,6.38,2,won,vEngland,The Oval,5 Sep 2007,2007,317,B'twn 300 & 400 runs
218,Australia,317/8,50.0,6.34,1,won,vIndia,Nagpur,14 Oct 2007,2007,317,B'twn 300 & 400 runs
219,Australia,317/7,50.0,6.34,1,won,vIndia,Sydney,24 Feb 2008,2008,317,B'twn 300 & 400 runs
220,South Africa,317/6,50.0,6.34,1,won,vAustralia,Port Elizabeth,13 Apr 2009,2009,317,B'twn 300 & 400 runs
221,India,317/3,48.1,6.58,2,won,vSri Lanka,Kolkata,24 Dec 2009,2009,317,B'twn 300 & 400 runs
